10876,50,ITALY,NULL,GULF OF VENICE,45.5,12.5
42,85,JAPAN,IBARAKI,HITACHI,36.58,140.67
28198,85,JAPAN,IBARAKI,NAKAMINATO,36.333,140.59
28199,85,JAPAN,IBARAKI,KUJI,40.1878,141.7689
28200,85,JAPAN,IBARAKI,KASHIMA,35.933,140.69
43,85,JAPAN,CHIBA,BOSO PENINSULA,34.9,139.85
16348,73,FRANCE,NULL,NORTHERN FRANCE,NULL,NULL
16349,73,UK,NULL,"CHANNEL ISLANDS, ENGLAND",49.333,-2.317
44,85,JAPAN,AKITA,KISAGATA,39.2167,139.9
10213,85,JAPAN,KAGOSHIMA,KUMANO,30.68,130.967
10877,50,TURKEY,NULL,SAMANDAGI,36.08,36.25
10214,85,JAPAN,NIIGATA,NAOETSUKO,37.1,138
48,85,JAPAN,IWATE,RIKUCHU,39.74,142
47,85,JAPAN,MIYAGI,SHIOGAMA,38.3,141
19400,85,JAPAN,WAKAYAMA,IWASHIRO,33.783,135.283
45,85,JAPAN,FUKUSHIMA,IWAKI,37.07,140.9
46,85,JAPAN,MIYAGI,SENDAI,38.267,141.033
10858,50,ISRAEL,NULL,AKKO (ACRE),32.924,35.073
16082,50,EGYPT,NULL,ALEXANDRIA,31.2,29.919
49,85,JAPAN,NIIGATA,S. COAST NIIGATA PREFECTURE,37.92,139.05
51,85,JAPAN,OSAKA,OSAKA BAY,34.5,135.33
50,85,JAPAN,KANAGAWA,HIYUGA,35.3,139.65
17553,60,INDIA,TAMIL NADU,"NAGAPATTINUM, TAMIL NADU",10.767,79.833
10224,85,JAPAN,MIE,KUMAMONADA,33.8,136.7
10878,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15
10879,50,TURKEY,NULL,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98
19372,30,IRAN,NULL,SIRAF,27.66666,52.3425
52,85,JAPAN,SHIMANE,IWAMI COAST,34.88,132.43
19401,85,JAPAN,YAMAGUCHI,SUSA,34.6167,131.6
25678,50,ISRAEL,NULL,CAESAREA PHILIPPI,32.483,34.883
10887,50,ISRAEL,NULL,AKKO (ACRE),32.924,35.073
10885,50,ISRAEL,NULL,GAZA,31.52,34.43
10886,50,ISRAEL,NULL,ASHKELON,31.667,34.55
25679,50,LEBANON,NULL,LEBANON COAST,33.8,35.8
10889,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.019,28.965
10890,50,GREECE,NULL,ISLAND OF THIRA,NULL,NULL
10891,50,TURKEY,NULL,NICOLIDEA,NULL,NULL
10892,50,TURKEY,NULL,"PRINCES ISLANDS, MARMARA SEA",40.87,29.12
10893,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.019,28.965
10895,50,ISRAEL,NULL,YAVNE,31.817,34.717
10894,50,ISRAEL,NULL,ASHDOD,31.817,34.65
56,50,ISRAEL,NULL,HOLON,32.011,34.772
19374,84,CHINA,NULL,"CHAOANG, KWANGTUNG",NULL,NULL
10225,85,JAPAN,IWATE,SANRIKU COAST,39.33,142
16504,85,JAPAN,NULL,SURUGA BAY,34.7,138.2
57,85,JAPAN,YAMAGATA,ATSUMI,34.62,137.11
60,85,JAPAN,MIE,TSU,34.717,136.517
59,85,JAPAN,SHIZUOKA,SHIZUOKA,34.98,138.4
58,85,JAPAN,MIE,MIE,34.69,136.54
10374,85,JAPAN,WAKAYAMA,NANKAIDO COAST,33,135.5
61,73,UK,NULL,"SAINT MICHAEL'S MOUNT, ENGLAND",50.116,-5.483
10896,50,ITALY,NULL,MALAMOCCO,45.373,12.344
25831,50,ITALY,CAMPANIA,NAPLES,40.83,14.25
10898,50,ITALY,SICILY,"MESSINA, SICILY",38.18,15.562
10899,50,ITALY,NULL,CALABRIAN ARC,NULL,NULL
10900,50,ITALY,REGIONE SICILIANA,ISLAND OF SICILY,38,15
15703,50,CYPRUS,NULL,PAPHOS,34.75,32.42
16090,50,EGYPT,NULL,COAST,31.2,29.919
62,50,CYPRUS,NULL,LIMASSOL,34.67,33.03
64,50,CYPRUS,NULL,PAPHOS,34.75,32.42
63,50,CYPRUS,NULL,LIMASSOL,34.67,33.03
25837,50,TURKEY,NULL,ISTANBUL (CONSTANTINOPLE),41.019,28.965
