10873,56,54,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
38,56,42,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
39,57,51,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
40,58,11,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10875,59,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10874,59,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
41,61,190,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10876,62,117,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
42,63,NULL,NULL,NULL,NULL,1,NULL,NULL,2,NULL
28198,63,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28199,63,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28200,63,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
43,66,60,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16348,67,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16349,67,23,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
44,69,24,NULL,NULL,NULL,1,NULL,NULL,NULL,4000
10213,70,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10877,71,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10214,72,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
48,74,208,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
47,74,245,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19400,74,927,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
45,74,300,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
46,74,243,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10858,75,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16082,75,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
49,76,96,NULL,NULL,NULL,1,NULL,NULL,4,NULL
51,77,167,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
50,77,475,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
17553,5283,48,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10224,79,0,NULL,NULL,NULL,1,NULL,NULL,2,NULL
10878,3429,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10879,81,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19372,3562,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
52,83,58,NULL,NULL,NULL,1,NULL,NULL,10,NULL
19401,83,27,NULL,NULL,NULL,1,NULL,NULL,10,NULL
25678,84,59,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10887,84,11,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10885,84,173,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10886,84,154,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
25679,84,116,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10889,87,324,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10890,3102,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10891,3103,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10892,3103,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10893,3103,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10895,90,259,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10894,90,259,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
56,90,280,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19374,91,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10225,93,156,NULL,NULL,NULL,1,NULL,NULL,2,NULL
16504,96,101,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
57,96,78,NULL,NULL,NULL,1,NULL,NULL,7,NULL
60,96,120,NULL,NULL,NULL,1,NULL,NULL,5,NULL
59,96,137,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
58,96,117,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10374,2992,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
61,97,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10896,98,15,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
25831,4201,2,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10898,2852,108,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10899,3107,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10900,3108,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15703,100,358,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16090,100,626,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
62,100,303,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
64,101,60,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
63,101,19,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
25837,3478,31,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19470,104,18,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
65,104,18,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10376,106,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10375,105,199,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28202,106,591,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28201,106,583,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10901,3109,20,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10902,108,22,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10377,110,18,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
67,111,167,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
16094,111,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10904,111,850,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10905,111,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15732,111,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10903,111,168,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10909,111,302,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
66,111,481,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10906,111,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10910,3111,5,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10911,3112,30,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10912,115,14,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
69,116,70,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10914,3113,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10915,3114,31,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
70,3114,31,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10916,3115,158,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
71,122,158,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28203,122,128,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19402,122,76,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19471,124,205,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
73,124,195,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
72,124,124,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
75,124,136,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
76,124,93,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
74,124,189,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10917,3116,6,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
77,126,15,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10918,3117,30,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10919,127,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10378,128,331,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
28204,128,69,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
25335,130,5,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
